Kitesurfing School,Boardworx  Beach Walk,Activity
The Anchor Inn,Abbey Street  Faversham ME13 7BP,Pub
The Dove,Plum Pudding Lane  Dargate  ME13 9HB,Pub
The Gate Inn,Boydengate  Marshside CT3 4EB,Pub
The Red Lion,Herne Hill  Faversham ME13 9JR,Pub
The Phoenix,Abbey Street  Faversham ME13 7BH,Pub
The Neptune,Marine Terrace  Whitstable  CT5 1EJ,Pub
The Red Lion 2,The Street  Stodmarsh CT3 4BA,Pub
The Three Mariners,2 Church Road  Oare  Faversham  ME13 0QA,Pub
The Cheese Box,60 Harbour St,Shop
Sundae Sundae,62 Harbour St,Shop
The Offy,5 The High St,Shop
Budgens,44 High St,Shop
The Co-op,58 Oxford St,Shop
The Beach Cafe,3 Beach Walk,Cafe
The Castle Orangery,Whitstable Castle,Cafe
The Tudor Tea Rooms,29 Harbour St,Cafe
Tower Hill Tea Gardens,Tower Hill,Cafe
Jones Fish and Chips,25 Harbour St,Restaurant
The Alimo,The Railway Arches,Restaurant
Samphire,4 High St,Restaurant
The Sportsman,430 Faversham Rd,Restaurant
JoJo's,29 Beach Walk,Restaurant
The Oxford,27A Oxford St,Restaurant
Wheelers Oyster Bar,8 High St,Restaurant
Harbour Cottage,20 Woodlawn St,Cottage
